game_id,home_team,away_team,home_lineup,away_lineup,home_score,away_score,point_diff,time_remaining,period,reason
2702542,Bristol Flyers,B. Braun Sheffield Sharks,"Joseph Anderson,Marcus Delpeche,Milos Dugalic,Pasquale Landolfi,Zachary Anderson","Dirk Williams,Jalen Deloach,Mike Ochereobia,Nick Kern Jr,Prentiss Nixon",76,53,23,101,4,Point diff 23 > 15 with 101s remaining
2702542,Bristol Flyers,B. Braun Sheffield Sharks,"Joseph Anderson,Marcus Delpeche,Milos Dugalic,Owen Mccormack,Pasquale Landolfi","Dirk Williams,Jalen Deloach,Mike Ochereobia,Nick Kern Jr,William Lee",78,60,18,7,4,Point diff 18 > 15 with 7s remaining
2702547,Leicester Riders,B. Braun Sheffield Sharks,"Duke Shelton,Flynn Boardman-Raffet,Olutomiwa Sulaiman,Spencer Johnson,Travis Evee","Jalen Deloach,Jordan Ratinho,Mike Ochereobia,Rodney Glasgow Jr,William Lee",56,84,28,163,4,Point diff 28 > 15 with 163s remaining
2702547,Leicester Riders,B. Braun Sheffield Sharks,"Flynn Boardman-Raffet,Nathaniel Martin,Olutomiwa Sulaiman,Spencer Johnson,Travis Evee","Jalen Deloach,Jordan Ratinho,Mike Ochereobia,Rodney Glasgow Jr,William Lee",56,85,29,128,4,Point diff 29 > 15 with 128s remaining
2702547,Leicester Riders,B. Braun Sheffield Sharks,"Flynn Boardman-Raffet,Michael Mitchell Jr,Nathaniel Martin,Olutomiwa Sulaiman,Victor Ndoukou","Jordan Ratinho,Mike Ochereobia,Nick Kern Jr,Rodney Glasgow Jr,William Lee",65,93,28,6,4,Point diff 28 > 15 with 6s remaining
2702549,Newcastle Eagles,Cheshire Phoenix,"Cole Long,Maceo Jack,Marco Anthony,Ray'sean Taylor,Sauveur Kande","Jaxon Brenchley,Laquincy Rideau,Michael Diggins,Skyler White,Tobias Cameron",81,63,18,179,4,Point diff 18 > 15 with 179s remaining
2702549,Newcastle Eagles,Cheshire Phoenix,"Cole Long,Maceo Jack,Marco Anthony,Mitch Clarke,Ray'sean Taylor","Jaxon Brenchley,Laquincy Rideau,Michael Diggins,Skyler White,Tobias Cameron",81,65,16,129,4,Point diff 16 > 15 with 129s remaining
2702549,Newcastle Eagles,Cheshire Phoenix,"Cole Long,Maceo Jack,Marco Anthony,Mitch Clarke,Ray'sean Taylor","Jaxon Brenchley,Michael Diggins,Patrick Robinson,Skyler White,Tobias Cameron",85,69,16,12,4,Point diff 16 > 15 with 12s remaining
2702549,Newcastle Eagles,Cheshire Phoenix,"Cole Long,Maceo Jack,Marco Anthony,Mitch Clarke,Sauveur Kande","Jaxon Brenchley,Michael Diggins,Patrick Robinson,Skyler White,Tobias Cameron",88,70,18,1,4,Point diff 18 > 15 with 1s remaining
2702560,Surrey 89ers,Bristol Flyers,"Kino Lily Jr,Michael Graham,Owen Koonce,Ronald Polite Iii,Timothy Nwanko","Cameron Holden,Joseph Anderson,Marcus Delpeche,William Yoakum,Zachary Anderson",58,93,35,111,4,Point diff 35 > 15 with 111s remaining
2702560,Surrey 89ers,Bristol Flyers,"Kino Lily Jr,Michael Graham,Owen Koonce,Ronald Polite Iii,Timothy Nwanko","Cameron Holden,Jonathan Brown,Marcus Delpeche,Pasquale Landolfi,Zachary Anderson",60,94,34,88,4,Point diff 34 > 15 with 88s remaining
2702560,Surrey 89ers,Bristol Flyers,"Kino Lily Jr,Michael Graham,Owen Koonce,Ronald Polite Iii,Timothy Nwanko","Jonathan Brown,Marcus Delpeche,Milos Dugalic,Pasquale Landolfi,Zachary Anderson",66,96,30,20,4,Point diff 30 > 15 with 20s remaining
2702563,Manchester Basketball,Leicester Riders,"Gabriel Osbuhein,Jordan Johnson,Max Jones,Patrick Smith Jr,Zak Irvin","Emmanuel Akot,Raequan Battle,Spencer Johnson,Travis Evee,Victor Ndoukou",86,70,16,64,4,Point diff 16 > 15 with 64s remaining
2702552,Leicester Riders,Newcastle Eagles,"Aaron Menzies,Donald Carey Jr,Olutomiwa Sulaiman,Raequan Battle,Spencer Johnson","Cole Long,Marco Anthony,Mitch Clarke,Ray'sean Taylor,Sauveur Kande",89,69,20,167,4,Point diff 20 > 15 with 167s remaining
2702552,Leicester Riders,Newcastle Eagles,"Donald Carey Jr,Olutomiwa Sulaiman,Raequan Battle,Spencer Johnson,Travis Evee","Cole Long,Marco Anthony,Mitch Clarke,Ray'sean Taylor,Sauveur Kande",91,75,16,24,4,Point diff 16 > 15 with 24s remaining
2702570,Caledonia Gladiators,London Lions,"Daylen Williams,Kevin Allen,Matthew Ragsdale,Ria'n Holland,Totonitoluwa Fagbenle","Aaryndeep Rai,Chasson Jermar Randle,Deane Williams,Jonathan Williams,Matthew Goodwin",36,79,43,452,4,Point diff 43 > 30 with 452s remaining
2702570,Caledonia Gladiators,London Lions,"Daylen Williams,Kevin Allen,Matthew Ragsdale,Ria'n Holland,Totonitoluwa Fagbenle","Aaryndeep Rai,Ciaran Sandy,Jonathan Williams,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu",37,84,47,346,4,Point diff 47 > 30 with 346s remaining
2702570,Caledonia Gladiators,London Lions,"Daylen Williams,Ethan Wright,Kevin Allen,Ria'n Holland,Totonitoluwa Fagbenle","Ciaran Sandy,Ethan Price,Kameron Mcgusty,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu",40,86,46,273,4,Point diff 46 > 30 with 273s remaining
2702570,Caledonia Gladiators,London Lions,"Daniel Carr,Daylen Williams,Ethan Wright,Ria'n Holland,Totonitoluwa Fagbenle","Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Kameron Mcgusty,Mohammad Al-Amin Abdul Adamu",41,86,45,235,4,Point diff 45 > 30 with 235s remaining
2702570,Caledonia Gladiators,London Lions,"Charles Jet Speelman,Daniel Carr,Ethan Wright,Ria'n Holland,Totonitoluwa Fagbenle","Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Kameron Mcgusty,Mohammad Al-Amin Abdul Adamu",46,92,46,132,4,Point diff 46 > 15 with 132s remaining
2702570,Caledonia Gladiators,London Lions,"Charles Jet Speelman,Daniel Carr,Ethan Wright,Fraser Malcolm,Ria'n Holland","Aaryndeep Rai,Chasson Jermar Randle,Ciaran Sandy,Deane Williams,Matthew Goodwin",51,96,45,5,4,Point diff 45 > 15 with 5s remaining
2702573,Cheshire Phoenix,B. Braun Sheffield Sharks,"Frankie Policelli,Laquincy Rideau,Michael Diggins,Patrick Robinson,Skyler White","Dirk Williams,Jalen Deloach,Nick Kern Jr,Prentiss Nixon,Rodney Chatman Iii",114,95,19,1,4,Point diff 19 > 15 with 1s remaining
2702562,London Lions,Leicester Riders,"Aaryndeep Rai,Chasson Jermar Randle,Ciaran Sandy,Deane Williams,Matthew Goodwin","Aaron Menzies,Donald Carey Jr,Flynn Boardman-Raffet,Olutomiwa Sulaiman,Spencer Johnson",82,63,19,177,4,Point diff 19 > 15 with 177s remaining
2702571,B. Braun Sheffield Sharks,Manchester Basketball,"Dirk Williams,Jordan Ratinho,Mike Ochereobia,Nick Kern Jr,Rodney Chatman Iii","Kayne Henry,Matthew Nicholson,Max Jones,Oluwaseyi Adetukasi,Patrick Smith Jr",94,76,18,61,4,Point diff 18 > 15 with 61s remaining
2702571,B. Braun Sheffield Sharks,Manchester Basketball,"Dirk Williams,Jordan Ratinho,Mike Ochereobia,Nick Kern Jr,Rodney Chatman Iii","Jordan Johnson,Judson Martindale,Kyle Carey,Matthew Nicholson,Oluwaseyi Adetukasi",98,79,19,6,4,Point diff 19 > 15 with 6s remaining
2702574,Caledonia Gladiators,Surrey 89ers,"Daniel Carr,Fraser Malcolm,Kyle Jimenez,Matthew Ragsdale,Ria'n Holland","Andrew Lawrence,Haydn Ling,Isiah Small,Nedas Cholevinskas,Ronald Polite Iii",72,91,19,139,4,Point diff 19 > 15 with 139s remaining
2702574,Caledonia Gladiators,Surrey 89ers,"Daniel Carr,Ethan Wright,Fraser Malcolm,Matthew Ragsdale,Ria'n Holland","Andrew Lawrence,Isiah Small,Nedas Cholevinskas,Ronald Polite Iii,Timothy Nwanko",72,91,19,110,4,Point diff 19 > 15 with 110s remaining
2702574,Caledonia Gladiators,Surrey 89ers,"Daniel Carr,Ethan Wright,Fraser Malcolm,Matthew Ragsdale,Ria'n Holland","Andrew Lawrence,Isiah Small,Kino Lily Jr,Nedas Cholevinskas,Timothy Nwanko",76,93,17,0,4,Point diff 17 > 15 with 0s remaining
2702577,Cheshire Phoenix,London Lions,"Frankie Policelli,Jaxon Brenchley,Laquincy Rideau,Patrick Robinson,Tobias Cameron","Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Mohammad Al-Amin Abdul Adamu,Ryan Mikesell",68,84,16,119,4,Point diff 16 > 15 with 119s remaining
2702577,Cheshire Phoenix,London Lions,"Frankie Policelli,Jaxon Brenchley,Laquincy Rideau,Patrick Robinson,Tobias Cameron","Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Matthew Goodwin,Ryan Mikesell",69,88,19,79,4,Point diff 19 > 15 with 79s remaining
2702584,Cheshire Phoenix,Bristol Flyers,"Greg Wild,Michael Diggins,Patrick Robinson,Skyler White,Tobias Cameron","Jonathan Brown,Joseph Anderson,Marcus Delpeche,Owen Mccormack,Pasquale Landolfi",107,80,27,46,4,Point diff 27 > 15 with 46s remaining
2702584,Cheshire Phoenix,Bristol Flyers,"Greg Wild,Lukasz Paradysz,Michael Diggins,Patrick Robinson,Skyler White","Jonathan Brown,Joseph Anderson,Marcus Delpeche,Owen Mccormack,Pasquale Landolfi",111,84,27,1,4,Point diff 27 > 15 with 1s remaining
2702590,Bristol Flyers,Caledonia Gladiators,"Cameron Holden,Darnell Brodie,Jonathan Brown,Owen Mccormack,William Yoakum","Charles Jet Speelman,Ethan Wright,Kyle Jimenez,Lloyd Alvin Bryan Jr,Matthew Ragsdale",80,60,20,133,4,Point diff 20 > 15 with 133s remaining
2702590,Bristol Flyers,Caledonia Gladiators,"Cameron Holden,Darnell Brodie,Jonathan Brown,Owen Mccormack,William Yoakum","Charles Jet Speelman,Daniel Carr,Ethan Wright,Kyle Jimenez,Matthew Ragsdale",87,67,20,6,4,Point diff 20 > 15 with 6s remaining
2702591,London Lions,Manchester Basketball,"Aaryndeep Rai,Chasson Jermar Randle,Deane Williams,Mohammad Al-Amin Abdul Adamu,Ryan Mikesell","Jordan Johnson,Kaiyem Cleary,Matthew Nicholson,Max Jones,Oluwaseyi Adetukasi",70,88,18,148,4,Point diff 18 > 15 with 148s remaining
2702591,London Lions,Manchester Basketball,"Aaryndeep Rai,Chasson Jermar Randle,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu,Ryan Mikesell","Jordan Johnson,Kaiyem Cleary,Matthew Nicholson,Max Jones,Oluwaseyi Adetukasi",72,90,18,46,4,Point diff 18 > 15 with 46s remaining
2702591,London Lions,Manchester Basketball,"Aaryndeep Rai,Chasson Jermar Randle,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu,Ryan Mikesell","Duke Shelton,Jordan Johnson,Judson Martindale,Kyle Carey,Patrick Smith Jr",74,90,16,13,4,Point diff 16 > 15 with 13s remaining
2702597,Surrey 89ers,Cheshire Phoenix,"Kino Lily Jr,Michael Graham,Nedas Cholevinskas,Ronald Polite Iii,Tayo Ogedengbe","Jaxon Brenchley,Laquincy Rideau,Michael Diggins,Patrick Robinson,Skyler White",73,91,18,180,4,Point diff 18 > 15 with 180s remaining
2702597,Surrey 89ers,Cheshire Phoenix,"Isiah Small,Kino Lily Jr,Michael Graham,Ronald Polite Iii,Tayo Ogedengbe","Jaxon Brenchley,Laquincy Rideau,Michael Diggins,Patrick Robinson,Skyler White",79,95,16,88,4,Point diff 16 > 15 with 88s remaining
2702597,Surrey 89ers,Cheshire Phoenix,"Isiah Small,Kino Lily Jr,Michael Graham,Ronald Polite Iii,Tayo Ogedengbe","Greg Wild,Laquincy Rideau,Matthew Zona,Michael Diggins,Tobias Cameron",79,101,22,4,4,Point diff 22 > 15 with 4s remaining
2702615,Cheshire Phoenix,Manchester Basketball,"Damiri Lindo,Frankie Policelli,Jaxon Brenchley,Matthew Zona,Patrick Robinson","Kaiyem Cleary,Kyle Carey,Matthew Nicholson,Oluwaseyi Adetukasi,Patrick Smith Jr",106,75,31,386,4,Point diff 31 > 30 with 386s remaining
2702615,Cheshire Phoenix,Manchester Basketball,"Greg Wild,Laquincy Rideau,Matthew Zona,Patrick Robinson,Tobias Cameron","Duke Shelton,Jordan Johnson,Judson Martindale,Kyle Carey,Patrick Smith Jr",116,90,26,0,4,Point diff 26 > 15 with 0s remaining
2702601,Manchester Basketball,B. Braun Sheffield Sharks,"Duke Shelton,Jordan Johnson,Judson Martindale,Kyle Carey,Oluwaseyi Adetukasi","Jalen Deloach,Jordan Ratinho,Mervin James,Prentiss Nixon,Reyad West",77,101,24,108,4,Point diff 24 > 15 with 108s remaining
2702601,Manchester Basketball,B. Braun Sheffield Sharks,"Duke Shelton,Jordan Johnson,Judson Martindale,Kyle Carey,Oluwaseyi Adetukasi","Jordan Ratinho,Mervin James,Prentiss Nixon,Reyad West,William Lee",84,106,22,23,4,Point diff 22 > 15 with 23s remaining
2702604,Newcastle Eagles,London Lions,"Cole Long,Darius Defoe,Deion Hammond,Mitch Clarke,Sauveur Kande","Aaryndeep Rai,Chasson Jermar Randle,Ciaran Sandy,Deane Williams,Matthew Goodwin",50,76,26,8,4,Point diff 26 > 15 with 8s remaining
2714364,Surrey 89ers,Bristol Flyers,"Haydn Ling,Isiah Small,Kino Lily Jr,Ronald Polite Iii,Tyrin Lawrence","Cameron Holden,Joseph Anderson,Owen Mccormack,William Yoakum,Zachary Anderson",89,71,18,138,4,Point diff 18 > 15 with 138s remaining
2714364,Surrey 89ers,Bristol Flyers,"Haydn Ling,Isiah Small,Kino Lily Jr,Ronald Polite Iii,Tyrin Lawrence","Cameron Holden,Darnell Brodie,Jonathan Brown,Owen Mccormack,William Yoakum",91,73,18,112,4,Point diff 18 > 15 with 112s remaining
2702610,Caledonia Gladiators,Surrey 89ers,"Ethan Wright,Fraser Malcolm,Matthew Ragsdale,Ria'n Holland,Totonitoluwa Fagbenle","Isiah Small,Kino Lily Jr,Ronald Polite Iii,Timothy Nwanko,Tyrin Lawrence",65,83,18,109,4,Point diff 18 > 15 with 109s remaining
2702610,Caledonia Gladiators,Surrey 89ers,"Ethan Wright,Fraser Malcolm,Matthew Ragsdale,Ria'n Holland,Totonitoluwa Fagbenle","Isiah Small,Kino Lily Jr,Nedas Cholevinskas,Ronald Polite Iii,Timothy Nwanko",65,83,18,92,4,Point diff 18 > 15 with 92s remaining
2787330,Newcastle Eagles,London Lions,"Deion Hammond,Emmanuel Kanwei,Gus Okafor,Maceo Jack,Terrell Burden Jr","Aaryndeep Rai,Ciaran Sandy,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu,Nigel Hawkins",65,91,26,131,4,Point diff 26 > 15 with 131s remaining
2787330,Newcastle Eagles,London Lions,"Deion Hammond,Emmanuel Kanwei,Gus Okafor,Sauveur Kande,Terrell Burden Jr","Aaryndeep Rai,Ciaran Sandy,Matthew Goodwin,Mohammad Al-Amin Abdul Adamu,Nigel Hawkins",68,94,26,13,4,Point diff 26 > 15 with 13s remaining
2714367,B. Braun Sheffield Sharks,Caledonia Gladiators,"Dirk Williams,Jordan Ratinho,Mike Ochereobia,Nick Kern Jr,Rodney Chatman Iii","Fraser Malcolm,Kyle Jimenez,Lloyd Alvin Bryan Jr,Matthew Ragsdale,Totonitoluwa Fagbenle",86,70,16,157,4,Point diff 16 > 15 with 157s remaining
2714367,B. Braun Sheffield Sharks,Caledonia Gladiators,"Dirk Williams,Jordan Ratinho,Mervin James,Nick Kern Jr,Rodney Chatman Iii","Fraser Malcolm,Kyle Jimenez,Lloyd Alvin Bryan Jr,Matthew Ragsdale,Totonitoluwa Fagbenle",88,70,18,120,4,Point diff 18 > 15 with 120s remaining
2792598,London Lions,Bristol Flyers,"Aaryndeep Rai,Chasson Jermar Randle,Ethan Price,Karolis Lukosiunas,Shavar Reynolds Jr","Darnell Brodie,Joseph Anderson,Owen Mccormack,Pasquale Landolfi,William Yoakum",71,49,22,169,4,Point diff 22 > 15 with 169s remaining
2792598,London Lions,Bristol Flyers,"Aaryndeep Rai,Chasson Jermar Randle,Ethan Price,Karolis Lukosiunas,Shavar Reynolds Jr","Cameron Holden,Darnell Brodie,Joseph Anderson,Owen Mccormack,William Yoakum",76,53,23,80,4,Point diff 23 > 15 with 80s remaining
2792598,London Lions,Bristol Flyers,"Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Karolis Lukosiunas,Mohammad Al-Amin Abdul Adamu","Darnell Brodie,Joseph Anderson,Owen Mccormack,Pasquale Landolfi,William Yoakum",76,58,18,6,4,Point diff 18 > 15 with 6s remaining
2792598,London Lions,Bristol Flyers,"Chasson Jermar Randle,Ciaran Sandy,Ethan Price,Karolis Lukosiunas,Mohammad Al-Amin Abdul Adamu","Darnell Brodie,Joseph Anderson,Owen Mccormack,Pasquale Landolfi,Zachary Anderson",77,58,19,2,4,Point diff 19 > 15 with 2s remaining
